"","Protein.Group","Protein.ID","Accession","X.10lgP","Coverage....","Coverage.....Sample.1","Coverage.....Sample.2","Coverage.....Sample.3","Coverage.....Sample.4","Coverage.....Sample.5","Coverage.....Sample.6","Coverage.....Sample.7","Coverage.....Sample.8","Coverage.....Sample.9","Coverage.....Sample.10","Coverage.....Sample.11","Coverage.....Sample.12","Coverage.....Sample.13","Coverage.....Sample.14","Coverage.....Sample.15","Coverage.....Sample.16","Coverage.....Sample.17","Coverage.....Sample.18","Coverage.....Sample.19","Coverage.....Sample.20","Coverage.....Sample.21","Coverage.....Sample.22","Coverage.....Sample.23","Coverage.....Sample.24","Coverage.....Sample.25","Coverage.....Sample.26","Coverage.....Sample.27","Coverage.....Sample.28","Coverage.....Sample.29","Coverage.....Sample.30","Coverage.....Sample.31","Coverage.....Sample.32","Coverage.....Sample.33","BT_1","BT_2","BT_3","BT_4","BT_5","BT_6","BT_7","BT_8","BT_9","BT_10","BT_11","BT_12","BT_13","BT_14","CJK_1","CJK_2","CJK_3","CJK_4","CJK_5","CJK_6","CJK_7","CJK_8","CJK_9","CJK_10","CJK_11","CJK_12","CJK_13","CJK_14","CJK_16","CJK_17","CJK_18","CJK_19","CJK_20","X.Peptides","X.Unique","X.Spec.Sample.1","X.Spec.Sample.2","X.Spec.Sample.3","X.Spec.Sample.4","X.Spec.Sample.5","X.Spec.Sample.6","X.Spec.Sample.7","X.Spec.Sample.8","X.Spec.Sample.9","X.Spec.Sample.10","X.Spec.Sample.11","X.Spec.Sample.12","X.Spec.Sample.13","X.Spec.Sample.14","X.Spec.Sample.15","X.Spec.Sample.16","X.Spec.Sample.17","X.Spec.Sample.18","X.Spec.Sample.19","X.Spec.Sample.20","X.Spec.Sample.21","X.Spec.Sample.22","X.Spec.Sample.23","X.Spec.Sample.24","X.Spec.Sample.25","X.Spec.Sample.26","X.Spec.Sample.27","X.Spec.Sample.28","X.Spec.Sample.29","X.Spec.Sample.30","X.Spec.Sample.31","X.Spec.Sample.32","X.Spec.Sample.33","PTM","Avg..Mass","Description...",Gene_id
"1",10,181,"Q09666|AHNK_HUMAN",585.27,73,56,52,56,50,55,56,56,54,52,48,52,50,58,53,43,24,49,41,48,36,51,36,49,43,51,37,36,40,32,42,42,32,45,3208900000,2374900000,2880800000,1909900000,3236700000,3255400000,3441100000,2.948e+09,2548700000,1770600000,2411100000,2.038e+09,3105200000,2409800000,2296400000,201810000,5520600000,1276900000,3526700000,1.872e+09,5389500000,1.107e+09,5.859e+09,3463400000,7258500000,1182700000,2700500000,2351600000,1754100000,1.479e+09,1692100000,595420000,1666300000,475,475,628,506,478,405,590,506,572,538,488,399,432,459,606,522,333,161,455,301,444,297,503,329,489,418,516,272,370,266,226,330,302,231,334,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",629114,"Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2",AHNAK
"585",1179,334,"O60271|JIP4_HUMAN",255.33,38,9,2,7,6,8,4,7,7,6,3,5,6,7,4,6,4,8,3,5,4,11,2,5,7,14,3,1,10,4,8,1,6,8,4140700,462780,3821100,1664100,3146500,783170,2603900,2030100,3411800,1698400,2577000,876400,3430200,1449400,4479400,1328200,40558000,3740100,9716200,2289500,15014000,2647500,8152400,6183500,28760000,1056900,0,11427000,3582600,6110500,599470,3695700,5836600,38,38,11,2,6,6,6,3,6,6,5,3,4,4,8,2,8,4,8,4,6,4,10,3,7,5,16,3,1,11,4,7,1,5,9,"Carboxymethyl; Deamidation (NQ); Oxidation (M)",146205,"C-Jun-amino-terminal kinase-interacting protein 4 OS=Homo sapiens OX=9606 GN=SPAG9 PE=1 SV=4;",SPAG9
"586",1006,305,"P29590|PML_HUMAN",255.18,50,11,9,6,18,3,10,5,11,5,14,13,11,9,11,4,10,5,8,4,16,4,1,15,24,6,9,3,14,13,13,17,3,18,2924200,8534200,11751000,28801000,3768700,9050200,4473100,18880000,7162100,21043000,13189000,11880000,3445900,18890000,5052600,13738000,13751000,7512300,417820,24720000,0,324810,22098000,29158000,15125000,4686200,3011200,22454000,16590000,8768300,23028000,3347400,15746000,32,32,6,8,5,14,3,10,5,10,3,11,11,10,5,11,3,7,4,7,2,9,1,1,9,16,5,8,3,8,7,8,12,4,9,"Carboxymethyl; Deamidation (NQ); Oxidation (M)",97551,"Protein PML OS=Homo sapiens OX=9606 GN=PML PE=1 SV=3;",PML
"587",653,433,"Q13310|PABP4_HUMAN",255.08,60,17,14,23,16,18,15,16,15,13,13,16,18,29,15,12,11,20,25,14,15,15,14,18,16,13,14,11,18,19,13,15,16,17,7166900,1132600,9907100,5190700,7369400,7073500,6017500,5097600,4394400,2111500,4675900,4907400,5636100,4135600,6009300,838790,27472000,2073800,4792500,7885000,2749800,8612600,36257000,5161400,1693000,5983000,2437800,7386700,8249100,2089600,21217000,8962200,11945000,28,18,11,8,18,10,11,8,9,7,7,5,12,8,13,8,7,8,23,10,9,13,11,18,13,11,9,8,10,9,12,9,9,11,12,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",70783,"Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1",PABPC4
"588",206,1925,"P60903|S10AA_HUMAN",255.04,90,58,58,58,58,58,58,58,58,58,58,58,58,58,58,45,35,35,35,35,35,45,45,35,35,40,35,35,35,35,35,35,45,82,804830000,264900000,662610000,230810000,750680000,419280000,617400000,628950000,501640000,209320000,367930000,305840000,789020000,462400000,142940000,64886000,894580000,266160000,352730000,265670000,663990000,267220000,895500000,632320000,1068500000,151910000,365880000,783220000,217580000,368340000,457430000,120140000,536440000,13,13,56,35,52,29,52,36,43,50,41,26,33,40,60,44,14,11,27,23,13,18,21,32,36,23,30,12,29,23,14,18,23,12,35,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",11203,"Protein S100-A10 OS=Homo sapiens OX=9606 GN=S100A10 PE=1 SV=2",S100A10
"589",721,551,"Q13492|PICAL_HUMAN",254.94,48,24,12,24,21,20,21,17,16,23,23,20,21,22,25,19,20,20,7,9,20,10,3,26,29,17,18,19,23,19,14,14,9,19,32986000,11620000,25707000,15307000,27662000,15201000,38178000,16617000,32428000,17214000,35755000,26976000,33351000,13501000,34690000,13627000,64173000,29536000,5932000,47269000,26373000,946240,54435000,71976000,48837000,17402000,61053000,78952000,44279000,26928000,47277000,24309000,27742000,25,25,14,5,11,7,11,8,10,7,12,11,8,9,11,9,8,9,10,7,6,10,7,1,14,20,11,8,16,11,14,10,11,9,12,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",70755,"Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens OX=9606 GN=PICALM PE=1 SV=2",PICALM
"590",723,454,"O00232|PSD12_HUMAN",254.44,57,14,16,22,16,19,20,23,20,25,16,18,16,16,14,18,11,24,12,16,19,21,14,20,24,22,16,15,24,20,24,12,17,17,18682000,8069800,29664000,17276000,20415000,23492000,42855000,18188000,19956000,13521000,24931000,11792000,14767000,15043000,23926000,3185700,42256000,12203000,20978000,43006000,27975000,7741500,19879000,43567000,61030000,16804000,24042000,34997000,25971000,21306000,19952000,11156000,25026000,25,25,7,7,10,8,9,11,14,11,12,8,11,8,8,6,9,5,11,5,9,9,11,7,8,14,15,9,10,11,9,12,6,10,9,"Carboxymethyl; Deamidation (NQ); Oxidation (M)",52904,"26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3;",PSMD12
"591",892,322,"O95817|BAG3_HUMAN",253.9,79,19,14,30,19,19,24,23,15,13,6,22,4,11,23,9,10,17,4,25,13,22,6,23,16,16,10,17,25,24,17,33,19,33,7163500,3430800,26809000,9095300,9566600,11589000,13551000,7318300,8758800,3843000,15176000,2161700,8805100,14206000,4805900,3570900,22037000,2926100,15748000,17507000,25425000,3898600,24195000,16100000,40959000,7568300,15229000,21612000,16209000,10910000,21223000,6193200,19807000,29,29,6,5,17,5,10,11,9,5,7,4,12,2,6,9,4,5,9,2,7,8,11,2,11,9,9,5,9,11,10,8,10,8,13,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term)",61595,"BAG family molecular chaperone regulator 3 OS=Homo sapiens OX=9606 GN=BAG3 PE=1 SV=3;",BAG3
"592",506,271,"O43242|PSMD3_HUMAN",253.48,60,27,18,28,27,28,27,33,24,22,16,37,19,29,24,28,13,29,24,26,22,23,21,33,25,35,21,19,30,18,33,34,19,38,23884000,7508100,41034000,22907000,22043000,25610000,31951000,19856000,25393000,8195100,36591000,7549400,25858000,17767000,32996000,4911600,79712000,16542000,34287000,26367000,56236000,19705000,102700000,40203000,90796000,18955000,25940000,48751000,18368000,27833000,46913000,18528000,37561000,31,31,16,12,17,16,13,13,17,12,13,7,23,8,17,12,15,8,14,12,18,11,18,15,22,14,21,13,14,24,9,20,19,14,22,"Deamidation (NQ); Oxidation (M)",60978,"26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2;;",PSMD3
"593",594,683,"P36957|ODO2_HUMAN",253.47,69,20,21,19,20,24,25,22,22,20,15,22,20,18,23,30,14,37,34,30,33,37,24,26,26,32,24,24,32,29,26,29,26,33,31849000,16367000,28279000,32852000,20383000,75762000,55482000,30710000,44769000,10710000,6322200,12049000,32172000,42573000,107770000,8043400,89594000,86363000,55824000,175370000,54047000,75582000,60876000,157130000,76163000,42105000,48270000,210700000,56942000,89582000,150370000,57460000,120650000,23,23,9,10,7,9,8,13,10,11,14,3,8,6,10,10,14,9,17,14,18,28,18,20,14,17,16,10,11,16,11,13,17,14,19,"Carboxymethyl; Deamidation (NQ); Oxidation (M)",48755,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex  mitochondrial OS=Homo sapiens OX=9606 GN=DLST PE=1 SV=4;",DLST
"594",650,312,"Q99798|ACON_HUMAN",253.43,57,21,13,25,20,19,28,14,20,15,11,18,25,17,28,13,10,20,14,12,24,17,6,14,12,15,16,15,8,20,12,23,6,13,25704000,23085000,25953000,31374000,19301000,36876000,17138000,23762000,18874000,13047000,30740000,24983000,21840000,25428000,19781000,2283300,34653000,9679400,13619000,37320000,30630000,5734100,33984000,26701000,41727000,11987000,15601000,11689000,43568000,5939000,18605000,5107700,13858000,29,29,10,10,10,13,11,13,8,12,9,5,11,15,13,13,8,6,12,12,9,17,14,5,11,12,17,15,10,5,15,7,11,8,9,"Carboxymethyl; Deamidation (NQ)",85425,"Aconitate hydratase  mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=2;;",ACO2
"595",1161,428,"O75643|U520_HUMAN",253.31,32,4,2,3,7,4,8,2,2,1,1,4,2,2,2,8,3,7,4,1,8,2,3,4,2,3,7,3,5,5,4,4,4,3,2211300,19645000,3481700,5719500,3246200,5343600,1951100,1606700,1910400,1688300,3994300,1298600,1886900,1008400,38106000,1528900,28767000,3505100,614950,20895000,34968000,7796100,22846000,7413400,7260000,10469000,928860,7170500,21726000,10201000,2882000,6621100,6324900,48,48,6,2,6,9,4,10,6,3,3,2,7,3,4,3,11,4,12,8,1,14,3,4,6,3,5,11,3,9,7,6,6,6,7,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",244505,"U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2",SNRNP200
"596",408,783,"P61106|RAB14_HUMAN",253.28,91,70,47,75,53,60,67,48,62,53,45,60,60,59,62,58,54,72,64,63,44,52,36,60,42,64,31,53,51,60,51,70,37,51,27198000,17412000,32065000,24143000,29041000,39351000,17859000,22799000,21840000,19302000,27569000,20865000,19603000,23213000,63846000,13784000,159330000,29052000,90195000,24457000,96315000,19701000,104110000,38485000,77260000,35483000,30812000,70903000,53497000,37207000,55476000,16138000,47172000,23,21,22,15,24,17,20,21,13,17,18,14,17,17,18,16,15,15,24,12,18,11,17,17,25,24,16,13,20,18,19,13,17,12,18,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",23897,"Ras-related protein Rab-14 OS=Homo sapiens OX=9606 GN=RAB14 PE=1 SV=4",RAB14
"597",391,728,"P61019|RAB2A_HUMAN",253.13,74,54,22,54,48,49,42,54,54,54,54,54,48,54,59,54,48,56,55,50,56,52,57,56,55,42,52,40,56,55,61,55,50,62,20366000,15261000,24914000,23383000,15546000,16259000,32289000,22386000,24882000,12838000,27764000,14657000,28452000,18519000,21533000,777920,45682000,9550700,30043000,19851000,46255000,16557000,50015000,21801000,40641000,7258400,18203000,23821000,16133000,13385000,23825000,9071800,21516000,18,10,18,5,17,12,14,14,17,20,21,13,15,11,20,16,16,11,28,15,22,19,21,16,21,19,20,15,14,18,15,17,18,15,25,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",23546,"Ras-related protein Rab-2A OS=Homo sapiens OX=9606 GN=RAB2A PE=1 SV=1",RAB2A
"598",414,395,"P22307|SCP2_HUMAN",253.09,52,21,23,21,23,21,21,21,18,21,24,24,23,23,19,18,14,21,23,15,14,15,9,17,14,23,17,22,19,20,21,19,17,16,34893000,32207000,55615000,88689000,34448000,39056000,53611000,39208000,42412000,34945000,46345000,32643000,52820000,30591000,120150000,16166000,174450000,45076000,88135000,70464000,111320000,22804000,227370000,93228000,184220000,66438000,1.23e+08,136130000,125060000,49007000,103350000,41561000,87300000,28,28,21,15,22,20,19,18,18,16,17,17,21,21,20,15,20,10,22,18,17,13,14,10,22,16,17,11,21,20,17,17,21,16,12,"Carboxymethyl; Deamidation (NQ); Oxidation (M)",58994,"Sterol carrier protein 2 OS=Homo sapiens OX=9606 GN=SCP2 PE=1 SV=2;",SCP2
"599",499,502,"P41091|IF2G_HUMAN",253.05,57,24,15,24,21,35,18,21,23,14,26,20,17,17,16,26,30,29,20,32,22,32,24,32,28,32,27,25,35,22,23,25,31,19,50057000,24645000,70796000,47401000,74722000,35930000,49442000,55125000,38944000,28913000,54768000,24058000,33157000,26332000,87608000,18235000,138480000,28509000,93858000,75447000,98615000,18440000,130150000,121640000,182010000,52505000,56871000,83803000,107150000,48789000,56717000,32456000,30983000,24,24,17,11,17,12,24,12,12,17,9,11,12,10,11,10,12,16,19,9,18,19,19,14,18,23,19,15,10,17,16,13,15,15,12,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",51110,"Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3",EIF2S3
"600",574,478,"O95302|FKBP9_HUMAN",253.03,66,25,17,22,29,25,22,26,22,17,26,24,32,21,22,8,20,26,20,15,23,26,19,24,26,13,19,22,24,20,14,29,20,21,71573000,53591000,86487000,88267000,87959000,87505000,48381000,83580000,64898000,72698000,34550000,75467000,53466000,62707000,23645000,15217000,109610000,31131000,44811000,83660000,32448000,40325000,69735000,45574000,71096000,38562000,39500000,48161000,35344000,17225000,31285000,14123000,38387000,29,28,19,14,13,17,18,18,15,18,14,16,10,15,9,14,7,7,31,13,17,18,11,15,19,16,12,13,15,10,13,8,10,11,8,"Carboxymethyl; Deamidation (NQ); Oxidation (M)",63084,"Peptidyl-prolyl cis-trans isomerase FKBP9 OS=Homo sapiens OX=9606 GN=FKBP9 PE=1 SV=2;",FKBP9
"601",649,383,"P49419|AL7A1_HUMAN",252.8,67,19,13,25,29,25,33,16,14,22,24,22,20,22,22,13,21,23,27,12,33,18,14,24,14,17,25,19,28,19,22,23,21,24,13904000,12456000,34487000,25695000,22320000,38128000,11959000,15790000,17057000,20668000,14412000,17373000,12846000,23906000,55823000,17012000,100790000,50798000,47252000,66332000,55329000,53045000,36494000,46664000,34576000,62321000,41085000,89651000,56039000,16316000,64792000,26150000,41351000,27,27,8,7,11,13,13,15,5,8,7,9,9,9,10,9,13,11,11,11,8,22,11,11,12,13,9,13,14,19,8,10,14,11,12,"Carboxymethyl; Deamidation (NQ); Oxidation (M)",58487,"Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH7A1 PE=1 SV=5;",ALDH7A1
"602",585,731,"Q15404|RSU1_HUMAN",252.78,77,43,43,64,52,46,52,46,36,37,52,34,25,34,46,21,37,41,39,21,50,28,25,39,31,38,40,41,59,52,44,25,47,47,26607000,9132700,56444000,39884000,24296000,41271000,27361000,20098000,25381000,20671000,26826000,12362000,19133000,21813000,14587000,11066000,61355000,47889000,191310000,70059000,24256000,3686100,71622000,47966000,79424000,21209000,29264000,92864000,63515000,35581000,44174000,18269000,24207000,16,16,11,8,23,16,11,21,13,11,10,12,12,8,13,13,7,5,18,22,12,16,11,7,14,13,20,8,17,22,22,12,12,15,13,"Deamidation (NQ); Oxidation (M)",31540,"Ras suppressor protein 1 OS=Homo sapiens OX=9606 GN=RSU1 PE=1 SV=3;;",RSU1
"603",844,414,"O75891|AL1L1_HUMAN",252.7,44,2,1,0,10,2,15,2,2,2,6,2,8,2,4,4,25,1,18,1,20,1,10,3,4,3,28,7,21,13,3,1,3,5,NA,NA,NA,3368400,NA,22510000,NA,NA,NA,2866300,NA,5878000,NA,NA,1709800,14677000,NA,15743000,NA,85108000,NA,8021800,NA,4993700,NA,58029000,4938400,60434000,6302600,NA,NA,NA,NA,31,26,5,2,0,7,4,14,4,2,3,6,2,9,3,5,6,24,2,16,6,31,3,15,2,8,3,31,5,19,14,4,1,2,7,"Carboxymethyl; Deamidation (NQ); Oxidation (M)",98829,"Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH1L1 PE=1 SV=2;",ALDH1L1
"604",605,1179,"P68402|PA1B2_HUMAN",252.47,95,75,74,52,52,54,52,69,61,58,71,52,54,66,83,45,12,55,26,53,32,55,23,61,77,59,37,34,42,52,80,49,41,39,42420000,23036000,75791000,44637000,58134000,43740000,54800000,55081000,44811000,47104000,40088000,31638000,52338000,55352000,189090000,20216000,197460000,41389000,82697000,113050000,89650000,18003000,99424000,168370000,93004000,37120000,25934000,122600000,91018000,64104000,132760000,31615000,62864000,16,16,11,13,13,11,16,13,15,16,12,13,16,15,13,16,19,5,26,6,20,9,15,7,18,17,18,8,6,14,14,14,12,7,13,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term)",25569,"Platelet-activating factor acetylhydrolase IB subunit alpha2 OS=Homo sapiens OX=9606 GN=PAFAH1B2 PE=1 SV=1;",PAFAH1B2
"605",803,310,"Q969V3|NCLN_HUMAN",252.43,58,21,14,18,24,13,22,16,22,16,17,22,21,16,17,9,2,13,14,10,18,17,22,9,18,7,13,4,16,14,15,23,11,34,6360300,7564100,13188000,14267000,11633000,15054000,11195000,13476000,7370400,10527000,13162000,6774300,6165300,10685000,11105000,1235400,32284000,6070300,8705100,19568000,16179000,20861000,59418000,20988000,9170400,8457700,2447300,12388000,17604000,6423100,28834000,7604400,28112000,25,25,8,7,8,9,6,10,5,9,6,8,10,7,6,8,5,2,8,7,5,9,9,17,6,13,4,9,3,8,7,6,12,5,18,"Deamidation (NQ)",62974,"Nicalin OS=Homo sapiens OX=9606 GN=NCLN PE=1 SV=2;;;",NCLN
"606",543,650,"P12277|KCRB_HUMAN",252.22,77,45,55,28,37,54,44,44,46,50,67,50,55,60,41,3,25,39,27,17,25,21,8,13,39,34,29,21,49,43,36,48,17,21,59508000,67189000,12033000,23273000,68509000,73160000,70426000,73435000,33570000,93191000,49883000,54803000,48582000,78211000,2895100,4930200,18966000,10402000,3833400,10850000,9840200,3696100,4784400,58435000,20555000,10156000,5550000,54586000,38684000,10557000,32086000,2402700,8345800,21,21,23,21,6,11,21,20,20,24,14,25,20,18,17,20,1,5,9,6,6,9,6,5,4,14,9,7,6,13,11,10,14,5,7,"Carboxymethyl; Deamidation (NQ); Oxidation (M)",42644,"Creatine kinase B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1;",CKB
"607",320,1210,"P84085|ARF5_HUMAN",251.91,85,40,29,40,40,40,52,30,36,40,40,30,30,40,30,47,39,44,57,36,41,40,44,45,41,60,41,46,41,41,46,41,36,38,3557900,NA,7342300,1907700,3605400,5406400,NA,1352800,2347600,1331800,NA,NA,1403400,NA,3609500,226480,3443200,1842300,NA,1703400,3535400,1195400,9421400,3853300,19057000,519890,6988000,4365700,3306000,4164600,1557800,NA,NA,15,7,15,6,17,13,12,16,16,15,15,9,16,12,13,11,29,13,32,23,22,33,21,36,30,37,34,23,30,33,22,23,33,17,27,"Carboxymethyl; Deamidation (NQ); Oxidation (M)",20530,"ADP-ribosylation factor 5 OS=Homo sapiens OX=9606 GN=ARF5 PE=1 SV=2;",ARF5
"608",957,610,"Q9BT78|CSN4_HUMAN",251.72,65,22,11,22,27,20,21,29,22,21,24,19,15,21,17,21,3,15,11,15,18,17,10,8,7,26,18,15,11,21,7,24,11,20,20822000,4118900,19063000,15355000,14962000,17560000,17996000,10183000,10026000,17162000,17564000,5575600,8929900,7909000,14160000,181600,11746000,4308500,7191300,10242000,10236000,3913700,5616700,4093600,23425000,9260900,4423500,5554800,19773000,1032800,9195300,3749900,4997400,22,22,11,4,12,11,8,10,10,8,8,9,7,4,8,9,8,2,4,3,3,7,6,3,3,3,12,8,5,3,7,2,6,3,9,"Carboxymethyl; Deamidation (NQ); Oxidation (M)",46269,"COP9 signalosome complex subunit 4 OS=Homo sapiens OX=9606 GN=COPS4 PE=1 SV=1;",COPS4
"609",307,750,"P15880|RS2_HUMAN",251.58,69,38,36,34,47,30,47,43,38,43,30,46,43,28,40,29,30,31,38,34,33,33,29,28,33,33,34,33,33,33,35,34,34,37,64534000,43593000,106800000,70472000,77903000,87408000,83759000,64978000,67795000,46089000,79340000,40378000,58701000,72031000,235690000,48014000,356270000,110350000,267470000,296780000,302640000,69305000,271770000,245640000,361840000,167570000,238640000,277540000,241520000,145800000,152320000,129050000,130110000,23,23,20,16,23,24,19,26,21,21,22,16,21,20,17,22,22,18,26,20,25,31,28,20,22,28,20,24,22,31,28,24,19,24,20,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term)",31324,"40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2;",RPS2
"610",507,867,"Q53GQ0|DHB12_HUMAN",251.56,79,29,16,40,37,33,33,17,42,17,18,18,37,29,46,23,33,32,34,23,28,33,26,35,32,34,46,31,45,31,46,38,30,30,14127000,13264000,22128000,26215000,12060000,33261000,23049000,33298000,16466000,22532000,19844000,24293000,18825000,24436000,94920000,47874000,250840000,185480000,114860000,218990000,105560000,46946000,208010000,354510000,183550000,84270000,137840000,428030000,293200000,117780000,251630000,55748000,135210000,17,17,9,6,11,11,8,8,5,15,7,8,6,11,8,13,10,12,15,21,12,13,14,13,18,22,15,17,18,28,24,20,30,12,23,"Carboxymethyl; Deamidation (NQ); Oxidation (M)",34324,"Very-long-chain 3-oxoacyl-CoA reductase OS=Homo sapiens OX=9606 GN=HSD17B12 PE=1 SV=2;",HSD17B12
"611",821,980,"Q9Y5M8|SRPRB_HUMAN",251.29,61,37,20,44,44,38,37,37,37,37,35,37,33,37,31,28,19,33,30,33,24,22,21,20,15,21,28,5,33,26,25,20,31,19,12208000,13707000,16176000,15155000,12093000,14368000,18474000,11814000,13391000,13410000,20756000,8065100,13035000,12501000,73168000,5823200,78064000,15643000,59918000,17922000,33828000,15269000,25435000,13067000,59229000,8178200,5535100,33267000,28163000,15012000,11433000,30456000,13877000,16,16,9,7,10,12,12,10,13,10,10,11,11,6,10,8,10,3,11,9,10,5,6,7,7,6,5,7,1,8,7,6,5,8,5,"Carboxymethyl; Deamidation (NQ)",29702,"Signal recognition particle receptor subunit beta OS=Homo sapiens OX=9606 GN=SRPRB PE=1 SV=3;;",SRPRB
"612",591,368,"Q16401|PSMD5_HUMAN",251.12,56,38,18,41,25,26,33,22,25,28,17,34,18,26,28,21,10,15,16,20,21,12,7,20,18,28,14,25,21,19,22,20,12,28,18332000,6968600,25388000,17684000,18469000,27236000,5025600,12373000,13965000,12831000,16146000,10949000,11804000,12001000,22527000,3479000,19288000,16155000,30620000,39840000,13814000,6459200,31116000,29959000,32829000,19883000,17033000,27724000,22470000,19173000,34176000,12372000,32111000,20,20,19,10,20,14,12,19,7,12,15,10,14,9,12,12,11,5,7,8,14,12,6,4,12,10,16,7,14,13,10,9,13,7,15,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term)",56196,"26S proteasome non-ATPase regulatory subunit 5 OS=Homo sapiens OX=9606 GN=PSMD5 PE=1 SV=3;",PSMD5
"613",779,1295,"Q07021|C1QBP_HUMAN",250.87,66,39,26,23,39,16,16,21,39,16,39,30,30,39,39,41,32,39,42,28,47,38,30,47,47,49,43,30,45,32,47,41,25,42,24233000,7655900,32713000,24113000,10051000,19314000,23946000,11623000,14064000,7399400,20606000,9944400,24171000,17437000,32472000,9638200,51458000,10521000,16496000,25596000,26349000,7893700,38747000,24677000,57258000,18908000,17956000,76003000,20840000,12903000,14525000,5388600,19865000,12,12,9,6,8,7,3,8,6,9,4,7,9,5,7,8,9,4,10,8,7,10,9,10,14,8,14,9,5,13,4,8,8,3,11,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",31362,"Complement component 1 Q subcomponent-binding protein  mitochondrial OS=Homo sapiens OX=9606 GN=C1QBP PE=1 SV=1",C1QBP
"614",840,403,"P31040|SDHA_HUMAN",250.48,60,13,13,14,10,14,14,14,13,4,8,12,17,12,9,11,6,10,11,14,19,6,20,17,19,18,18,16,18,26,12,17,4,10,15102000,19420000,19713000,12894000,12653000,18495000,11398000,11341000,5935100,8787700,12011000,12341000,7385400,9105700,12649000,6278100,34343000,13992000,14753000,50940000,14041000,16801000,42206000,33520000,49943000,8643000,13047000,47947000,66901000,12927000,33193000,7076500,20135000,27,27,7,7,7,5,8,7,5,5,4,5,5,7,6,4,9,5,8,6,10,13,6,13,10,11,10,9,6,10,18,6,10,4,9,"Carboxymethyl; Deamidation (NQ); Oxidation (M)",72692,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit  mitochondrial OS=Homo sapiens OX=9606 GN=SDHA PE=1 SV=2;",SDHA
"615",480,1000,"Q14103|HNRPD_HUMAN",250.33,45,23,22,22,19,19,17,26,19,22,12,27,18,26,17,21,18,26,15,21,6,26,28,26,21,26,18,27,23,20,19,15,10,16,28366000,15872000,49028000,43397000,36953000,56015000,36670000,33341000,29297000,17378000,42257000,26366000,37636000,19204000,75352000,11298000,113580000,36014000,70324000,40756000,113680000,75127000,128430000,73872000,146540000,34314000,50842000,65467000,29973000,26145000,43059000,18904000,66305000,17,15,12,13,16,14,14,13,15,12,14,8,13,12,18,11,9,10,17,14,15,10,19,21,25,18,17,10,13,16,12,13,13,10,15,"Carboxymethyl; Deamidation (NQ)",38434,"Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1;;",HNRNPD
